2,"139 132 198 231 0 0.796671 
"
3,"146 130 200 231 0 0.73103 
"
3,"572 0 595 59 0 0.535189 
"
4,"147 130 201 231 0 0.779863 
"
5,"155 130 203 232 0 0.844325 
"
6,"168 129 203 230 0 0.827096 
"
7,"170 127 205 228 0 0.877483 
"
8,"174 127 208 230 0 0.927101 
"
9,"178 126 211 230 0 0.841139 
"
10,"183 124 216 233 0 0.752101 
"
11,"187 124 218 234 0 0.906813 
"
12,"188 125 226 234 0 0.937102 
"
13,"188 126 234 233 0 0.93969 
"
14,"188 129 241 232 0 0.87015 
"
15,"187 128 249 232 0 0.906313 
"
16,"186 128 251 231 0 0.838966 
"
16,"69 187 88 229 0 0.601258 
"
17,"191 130 260 231 0 0.685468 
"
17,"70 187 91 229 0 0.609689 
"
18,"202 129 261 231 0 0.859802 
"
18,"72 189 94 227 0 0.557146 
"
19,"204 132 262 230 0 0.8299 
"
20,"215 128 261 230 0 0.626171 
"
21,"222 127 259 228 0 0.653639 
"
22,"223 125 260 226 0 0.673702 
"
23,"226 124 260 227 0 0.540748 
"
24,"232 126 269 232 0 0.611562 
"
25,"235 126 274 232 0 0.861782 
"
26,"237 125 278 231 0 0.889333 
"
27,"238 125 282 233 0 0.75643 
"
28,"239 128 289 230 0 0.80303 
"
29,"239 130 295 229 0 0.764096 
"
30,"238 131 297 231 0 0.751282 
"
30,"98 185 139 237 0 0.53283 
"
31,"243 130 300 227 0 0.612501 
"
32,"253 130 304 227 0 0.675375 
"
33,"259 131 305 228 0 0.825606 
"
34,"265 127 305 229 0 0.787713 
"
35,"269 129 306 226 0 0.736681 
"
37,"276 126 309 226 0 0.802358 
"
38,"282 124 314 228 0 0.72795 
"
38,"124 155 157 238 0 0.534274 
"
39,"285 125 318 228 0 0.864896 
"
39,"124 154 160 239 0 0.686374 
"
40,"288 123 323 231 0 0.925457 
"
40,"128 157 167 242 0 0.521194 
"
41,"289 120 327 229 0 0.838872 
"
41,"134 159 170 247 0 0.627899 
"
42,"290 124 333 227 0 0.910746 
"
42,"135 159 173 247 0 0.824278 
"
43,"292 123 338 226 0 0.832693 
"
43,"137 162 177 247 0 0.815844 
"
44,"292 123 349 228 0 0.818181 
"
44,"140 161 178 246 0 0.803876 
"
45,"292 124 350 229 0 0.866774 
"
45,"142 161 180 247 0 0.670778 
"
46,"295 125 355 228 0 0.88882 
"
46,"146 163 183 242 0 0.568061 
"
47,"302 127 356 225 0 0.856457 
"
47,"149 160 183 242 0 0.572354 
"
48,"311 126 354 226 0 0.809476 
"
48,"150 161 188 244 0 0.648614 
"
49,"315 125 353 225 0 0.788011 
"
50,"323 117 357 226 0 0.912523 
"
50,"156 160 197 250 0 0.817444 
"
51,"324 120 358 226 0 0.909791 
"
51,"155 166 205 248 0 0.852156 
"
52,"158 167 206 247 0 0.824583 
"
